resume_text,jd_text,label
"Engineering student passionate about building scalable, real-world software solutions. Worked on a project involving MongoDB, and CSS3, focusing on clean architecture and maintainable code. Worked on a project involving Node.js, Git, and CSS3, focusing on clean architecture and maintainable code. Developed features end to end using CSS3, and MongoDB, including testing and code review. Strong communicator with experience collaborating in agile, cross-functional teams. Technical Skills: HTML5, Material Design, MongoDB, CSS3, Node.js, TypeScript, Git.","Join us as a Software Engineer and help shape the next generation of our platform. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Participate in code reviews, sprint planning, and technical design discussions. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Strong proficiency in REST APIs, and responsive design. Hands-on experience with MongoDB, and Vite. Familiarity with Vite, and MongoDB and modern development practices. Exposure to Terraform is beneficial but not required.",1
"Software engineering graduate with hands-on project experience and a strong foundation in computer science fundamentals. Developed features end to end using Kotlin, and scikit-learn, including testing and code review. Developed features end to end using Firebase, and Coroutines, including testing and code review. Strong communicator with experience collaborating in agile, cross-functional teams. Technical Skills: Room DB, scikit-learn, Kotlin, Android SDK, Coroutines, Firebase, Jetpack Compose.","We're seeking an experienced Mobile Engineer to work closely with our product and engineering teams. Responsibilities: Design, build, and maintain systems using MVVM architecture, and UI/UX design. Design, build, and maintain systems using MVVM architecture, and UI/UX design. Own projects end to end, from design through deployment and monitoring. Requirements: Hands-on experience with Coroutines. Familiarity with Android Studio and modern development practices. Strong proficiency in MVVM architecture, Coroutines, and Android Studio.",1
"Motivated developer with practical experience building and deploying applications end to end. Worked on a project involving Docker, Jenkins, Git, and Linux administration, focusing on clean architecture and maintainable code. Gained hands-on experience with responsive design, Linux administration, Azure, and Docker through internship and personal projects. Strong communicator with experience collaborating in agile, cross-functional teams. Technical Skills: Docker, Jenkins, Azure, Linux administration, responsive design, monitoring, Git.","Our company is hiring a Cloud Engineer to help build and scale our core product. Responsibilities: Design, build, and maintain systems using Kubernetes. Own projects end to end, from design through deployment and monitoring. Own projects end to end, from design through deployment and monitoring. Requirements: Bachelor's degree in Computer Science or equivalent practical experience. Strong proficiency in Jenkins, and Kubernetes. Bachelor's degree in Computer Science or equivalent practical experience. Familiarity with Azure, Ansible, and Jenkins and modern development practices. Exposure to HTML5 is beneficial but not required.",0
"Detail-oriented developer with a track record of shipping projects independently and in teams. Built and maintained applications using React, Vite, and JavaScript, collaborating with a small team to ship features on schedule. Developed features end to end using TypeScript, Git, React, and Vite, including testing and code review. Gained hands-on experience with Express.js, Vite, and Redux through internship and personal projects. Comfortable working independently and under tight deadlines. Technical Skills: TypeScript, Git, React, Vite, Redux, Express.js, JavaScript.","Join us as a Web Developer and help shape the next generation of our platform. Responsibilities: Design, build, and maintain systems using MongoDB. Own projects end to end, from design through deployment and monitoring. Collaborate with cross-functional teams to deliver features involving feature engineering, and HTML5. Design, build, and maintain systems using HTML5. Requirements: Hands-on experience with JavaScript, and REST APIs. Excellent communication skills and ability to work in a collaborative team environment. Bachelor's degree in Computer Science or equivalent practical experience. Experience with machine learning is a plus.",0
"Motivated developer with practical experience building and deploying applications end to end. Developed features end to end using SQL, feature engineering, and regression models, including testing and code review. Built and maintained applications using statistics, SQL, and feature engineering, collaborating with a small team to ship features on schedule. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: TensorFlow, machine learning, SQL, Photoshop, feature engineering, statistics, regression models.","Join us as a Product Designer and help shape the next generation of our platform. Responsibilities: Write clean, well-tested, maintainable code using user research, design systems, and Photoshop. Collaborate with cross-functional teams to deliver features involving accessibility, and wireframing. Own projects end to end, from design through deployment and monitoring. Requirements: Strong proficiency in accessibility, and Photoshop. Bachelor's degree in Computer Science or equivalent practical experience. Strong proficiency in wireframing, user research, and design systems. Strong proficiency in Ansible, and design systems.",0
"Motivated developer with practical experience building and deploying applications end to end. Gained hands-on experience with Git, and HTML5 through internship and personal projects. Built and maintained applications using JWT authentication, HTML5, and TypeScript, collaborating with a small team to ship features on schedule. Comfortable working independently and under tight deadlines. Technical Skills: responsive design, JWT authentication, TypeScript, MongoDB, accessibility, HTML5, Git.","Our company is hiring a Frontend Engineer to help build and scale our core product. Responsibilities: Own projects end to end, from design through deployment and monitoring. Participate in code reviews, sprint planning, and technical design discussions. Own projects end to end, from design through deployment and monitoring. Requirements: Bachelor's degree in Computer Science or equivalent practical experience. Excellent communication skills and ability to work in a collaborative team environment. Hands-on experience with MongoDB.",1
"Detail-oriented developer with a track record of shipping projects independently and in teams. Worked on a project involving REST APIs, TypeScript, and responsive design, focusing on clean architecture and maintainable code. Worked on a project involving machine learning, Node.js, and REST APIs, focusing on clean architecture and maintainable code. Developed features end to end using Node.js, responsive design, TypeScript, and REST APIs, including testing and code review. Comfortable working independently and under tight deadlines. Technical Skills: responsive design, CSS3, Node.js, TypeScript, machine learning, JWT authentication, REST APIs.","We are looking for a Data Scientist to join our growing engineering team. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Design, build, and maintain systems using TensorFlow, Jupyter, and scikit-learn. Write clean, well-tested, maintainable code using AWS, and machine learning. Collaborate with cross-functional teams to deliver features involving Jupyter. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Excellent communication skills and ability to work in a collaborative team environment. Familiarity with TensorFlow and modern development practices. Bachelor's degree in Computer Science or equivalent practical experience.",0
"Detail-oriented developer with a track record of shipping projects independently and in teams. Developed features end to end using Material Design, Jetpack Compose, Firebase, and accessibility, including testing and code review. Worked on a project involving accessibility, Android Studio, and Jetpack Compose, focusing on clean architecture and maintainable code. Developed features end to end using Dagger Hilt, Jetpack Compose, accessibility, and Material Design, including testing and code review. Quick learner, eager to take ownership of new problems. Technical Skills: accessibility, Dagger Hilt, Firebase, Material Design, Android Studio, Jetpack Compose, Android SDK.","Join us as a Web Developer and help shape the next generation of our platform. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Design, build, and maintain systems using CSS3, and pandas. Write clean, well-tested, maintainable code using React. Requirements: Hands-on experience with pandas, and responsive design. Familiarity with React and modern development practices. Familiarity with React, REST APIs, and Node.js and modern development practices. Bachelor's degree in Computer Science or equivalent practical experience. Experience with machine learning is a plus.",0
"Motivated developer with practical experience building and deploying applications end to end. Developed features end to end using UI/UX design, and typography, including testing and code review. Developed features end to end using design systems, and Adobe XD, including testing and code review. Comfortable working independently and under tight deadlines. Technical Skills: design systems, UI/UX design, Figma, user research, typography, Adobe XD, pandas.","Join us as a UI/UX Designer and help shape the next generation of our platform. Responsibilities: Own projects end to end, from design through deployment and monitoring. Own projects end to end, from design through deployment and monitoring. Design, build, and maintain systems using Figma, and UI/UX design. Own projects end to end, from design through deployment and monitoring. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Familiarity with prototyping, and Kotlin and modern development practices. Strong proficiency in design systems, and prototyping.",1
"Detail-oriented developer with a track record of shipping projects independently and in teams. Built and maintained applications using Kubernetes, shell scripting, Java, and CI/CD, collaborating with a small team to ship features on schedule. Gained hands-on experience with CI/CD, Terraform, and Azure through internship and personal projects. Gained hands-on experience with Terraform, shell scripting, and Kubernetes through internship and personal projects. Quick learner, eager to take ownership of new problems. Technical Skills: Kubernetes, CI/CD, Azure, Terraform, Java, shell scripting, Ansible.","We are looking for a Site Reliability Engineer to join our growing engineering team. Responsibilities: Design, build, and maintain systems using Ansible, and CI/CD. Design, build, and maintain systems using JavaScript, and Ansible. Write clean, well-tested, maintainable code using JavaScript. Own projects end to end, from design through deployment and monitoring. Requirements: Hands-on experience with CI/CD, Jenkins, and Terraform. Familiarity with Ansible, Terraform, and shell scripting and modern development practices. Excellent communication skills and ability to work in a collaborative team environment. Experience with accessibility is a plus.",1
"Software engineering graduate with hands-on project experience and a strong foundation in computer science fundamentals. Worked on a project involving Material Design, Node.js, and Kotlin, focusing on clean architecture and maintainable code. Worked on a project involving Kotlin, Android Studio, and Node.js, focusing on clean architecture and maintainable code. Comfortable working independently and under tight deadlines. Technical Skills: Dagger Hilt, MVVM architecture, Kotlin, Material Design, Java, Android Studio, Node.js.","We are looking for a Machine Learning Engineer to join our growing engineering team. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Design, build, and maintain systems using pandas, and TensorFlow. Participate in code reviews, sprint planning, and technical design discussions. Own projects end to end, from design through deployment and monitoring. Requirements: Strong proficiency in Adobe XD. Excellent communication skills and ability to work in a collaborative team environment. Strong proficiency in Python. Familiarity with Python and modern development practices.",0
"Software engineering graduate with hands-on project experience and a strong foundation in computer science fundamentals. Built and maintained applications using HTML5, React, and Node.js, collaborating with a small team to ship features on schedule. Gained hands-on experience with Vite, CSS3, Redux, and React through internship and personal projects. Built and maintained applications using HTML5, React, and accessibility, collaborating with a small team to ship features on schedule. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: HTML5, accessibility, React, Vite, Node.js, CSS3, Redux.","We're seeking an experienced Site Reliability Engineer to work closely with our product and engineering teams. Responsibilities: Design, build, and maintain systems using Kubernetes, accessibility, and Linux administration. Write clean, well-tested, maintainable code using Kubernetes, and Linux administration. Collaborate with cross-functional teams to deliver features involving Linux administration. Requirements: Hands-on experience with AWS. Hands-on experience with accessibility, Linux administration, and Azure. Bachelor's degree in Computer Science or equivalent practical experience. Excellent communication skills and ability to work in a collaborative team environment.",0
"Engineering student passionate about building scalable, real-world software solutions. Gained hands-on experience with prototyping, and design systems through internship and personal projects. Developed features end to end using accessibility, and prototyping, including testing and code review. Gained hands-on experience with Ansible, Figma, and prototyping through internship and personal projects. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: prototyping, UI/UX design, design systems, typography, Ansible, accessibility, Figma.","Our company is hiring a Data Scientist to help build and scale our core product. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Own projects end to end, from design through deployment and monitoring. Own projects end to end, from design through deployment and monitoring. Own projects end to end, from design through deployment and monitoring. Requirements: Familiarity with NumPy, and CSS3 and modern development practices. Bachelor's degree in Computer Science or equivalent practical experience. Familiarity with machine learning, Jupyter, and NumPy and modern development practices. Exposure to JWT authentication is beneficial but not required.",0
"Engineering student passionate about building scalable, real-world software solutions. Developed features end to end using MVVM architecture, and Photoshop, including testing and code review. Built and maintained applications using MVVM architecture, design systems, user research, and UI/UX design, collaborating with a small team to ship features on schedule. Built and maintained applications using UI/UX design, wireframing, and MVVM architecture, collaborating with a small team to ship features on schedule. Quick learner, eager to take ownership of new problems. Technical Skills: accessibility, wireframing, UI/UX design, design systems, user research, MVVM architecture, Photoshop.","Join us as a Site Reliability Engineer and help shape the next generation of our platform. Responsibilities: Collaborate with cross-functional teams to deliver features involving Kubernetes. Own projects end to end, from design through deployment and monitoring. Collaborate with cross-functional teams to deliver features involving AWS, Git, and Kubernetes. Requirements: Hands-on experience with Jetpack Compose, and CI/CD. Bachelor's degree in Computer Science or equivalent practical experience. Hands-on experience with Azure, CI/CD, and AWS. Hands-on experience with Kubernetes, and Jetpack Compose.",0
"Software engineering graduate with hands-on project experience and a strong foundation in computer science fundamentals. Built and maintained applications using Jetpack Compose, and Java, collaborating with a small team to ship features on schedule. Worked on a project involving Material Design, TensorFlow, and Java, focusing on clean architecture and maintainable code. Developed features end to end using Java, and Material Design, including testing and code review. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: Material Design, TensorFlow, Jetpack Compose, Java, Android SDK, Firebase, Dagger Hilt.","Join us as a Data Analyst and help shape the next generation of our platform. Responsibilities: Participate in code reviews, sprint planning, and technical design discussions. Participate in code reviews, sprint planning, and technical design discussions. Own projects end to end, from design through deployment and monitoring. Requirements: Strong proficiency in SQL. Hands-on experience with data visualization. Excellent communication skills and ability to work in a collaborative team environment. Exposure to responsive design is beneficial but not required.",0
"Motivated developer with practical experience building and deploying applications end to end. Gained hands-on experience with Redux, and HTML5 through internship and personal projects. Worked on a project involving React, CSS3, Express.js, and HTML5, focusing on clean architecture and maintainable code. Built and maintained applications using Redux, pandas, TypeScript, and Express.js, collaborating with a small team to ship features on schedule. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: Express.js, CSS3, HTML5, React, Redux, TypeScript, pandas.","We are looking for a Machine Learning Engineer to join our growing engineering team. Responsibilities: Own projects end to end, from design through deployment and monitoring. Write clean, well-tested, maintainable code using Python, feature engineering, and SQL. Collaborate with cross-functional teams to deliver features involving TensorFlow. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Familiarity with TensorFlow and modern development practices. Hands-on experience with Kubernetes. Familiarity with feature engineering, SQL, and data visualization and modern development practices. Exposure to MVVM architecture is beneficial but not required.",0
"Detail-oriented developer with a track record of shipping projects independently and in teams. Developed features end to end using REST APIs, and MongoDB, including testing and code review. Built and maintained applications using Adobe XD, TypeScript, and Vite, collaborating with a small team to ship features on schedule. Developed features end to end using JavaScript, Vite, and Git, including testing and code review. Quick learner, eager to take ownership of new problems. Technical Skills: JavaScript, TypeScript, Git, MongoDB, Adobe XD, REST APIs, Vite.","Join us as a Full Stack Developer and help shape the next generation of our platform. Responsibilities: Own projects end to end, from design through deployment and monitoring. Collaborate with cross-functional teams to deliver features involving Ansible. Own projects end to end, from design through deployment and monitoring. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Hands-on experience with Ansible. Familiarity with Node.js, and HTML5 and modern development practices. Strong proficiency in Ansible, Node.js, and Vite. Experience with Jupyter is a plus.",0
"Detail-oriented developer with a track record of shipping projects independently and in teams. Developed features end to end using Terraform, Jenkins, Docker, and AWS, including testing and code review. Built and maintained applications using Jenkins, AWS, and Terraform, collaborating with a small team to ship features on schedule. Comfortable working independently and under tight deadlines. Technical Skills: Docker, Jenkins, shell scripting, Terraform, machine learning, AWS, Kubernetes.","Our company is hiring a Android Developer to help build and scale our core product. Responsibilities: Collaborate with cross-functional teams to deliver features involving Android Studio, and MVVM architecture. Own projects end to end, from design through deployment and monitoring. Own projects end to end, from design through deployment and monitoring. Requirements: Bachelor's degree in Computer Science or equivalent practical experience. Excellent communication skills and ability to work in a collaborative team environment. Hands-on experience with Android Studio, regression models, and MVVM architecture. Bachelor's degree in Computer Science or equivalent practical experience.",0
"Motivated developer with practical experience building and deploying applications end to end. Built and maintained applications using UI/UX design, and Adobe XD, collaborating with a small team to ship features on schedule. Developed features end to end using Adobe XD, and Ansible, including testing and code review. Worked on a project involving UI/UX design, Ansible, and Photoshop, focusing on clean architecture and maintainable code. Quick learner, eager to take ownership of new problems. Technical Skills: Photoshop, Adobe XD, Ansible, typography, UI/UX design, wireframing, Figma.","We are looking for a Visual Designer to join our growing engineering team. Responsibilities: Design, build, and maintain systems using JWT authentication. Own projects end to end, from design through deployment and monitoring. Write clean, well-tested, maintainable code using design systems, user research, and Photoshop. Requirements: Bachelor's degree in Computer Science or equivalent practical experience. Excellent communication skills and ability to work in a collaborative team environment. Familiarity with accessibility, Photoshop, and design systems and modern development practices.",0
"Engineering student passionate about building scalable, real-world software solutions. Worked on a project involving Room DB, Jetpack Compose, and Firebase, focusing on clean architecture and maintainable code. Developed features end to end using Photoshop, and Firebase, including testing and code review. Developed features end to end using Dagger Hilt, Jetpack Compose, and Firebase, including testing and code review. Comfortable working independently and under tight deadlines. Technical Skills: Firebase, Dagger Hilt, Android Studio, Photoshop, Room DB, Kotlin, Jetpack Compose.","Join us as a Android Software Engineer and help shape the next generation of our platform. Responsibilities: Write clean, well-tested, maintainable code using data visualization, and Material Design. Participate in code reviews, sprint planning, and technical design discussions. Own projects end to end, from design through deployment and monitoring. Participate in code reviews, sprint planning, and technical design discussions. Requirements: Hands-on experience with Dagger Hilt, data visualization, and Android SDK. Familiarity with Android SDK, and Java and modern development practices. Familiarity with data visualization, Material Design, and Java and modern development practices. Exposure to Azure is beneficial but not required.",0
"Motivated developer with practical experience building and deploying applications end to end. Gained hands-on experience with Room DB, MVVM architecture, and Kubernetes through internship and personal projects. Developed features end to end using Kotlin, and Kubernetes, including testing and code review. Enjoys mentoring peers and contributing to open-source projects in spare time. Technical Skills: Dagger Hilt, Kotlin, MVVM architecture, Android SDK, Kubernetes, Android Studio, Room DB.","Join us as a Frontend Engineer and help shape the next generation of our platform. Responsibilities: Own projects end to end, from design through deployment and monitoring. Write clean, well-tested, maintainable code using wireframing, CSS3, and Node.js. Own projects end to end, from design through deployment and monitoring. Write clean, well-tested, maintainable code using React, and MongoDB. Requirements: Strong proficiency in wireframing, and MongoDB. Strong proficiency in Node.js, MongoDB, and Vite. Strong proficiency in Node.js, Vite, and CSS3. Hands-on experience with Vite, React, and wireframing. Exposure to design systems is beneficial but not required.",0
"Detail-oriented developer with a track record of shipping projects independently and in teams. Developed features end to end using Jupyter, NumPy, statistics, and Python, including testing and code review. Worked on a project involving statistics, and machine learning, focusing on clean architecture and maintainable code. Developed features end to end using statistics, and Jupyter, including testing and code review. Strong communicator with experience collaborating in agile, cross-functional teams. Technical Skills: Material Design, SQL, statistics, Python, machine learning, NumPy, Jupyter.","We're seeking an experienced Product Designer to work closely with our product and engineering teams. Responsibilities: Write clean, well-tested, maintainable code using MVVM architecture, Photoshop, and user research. Write clean, well-tested, maintainable code using user research, typography, and accessibility. Own projects end to end, from design through deployment and monitoring. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Familiarity with MVVM architecture and modern development practices. Excellent communication skills and ability to work in a collaborative team environment. Excellent communication skills and ability to work in a collaborative team environment. Experience with TypeScript is a plus.",0
"Engineering student passionate about building scalable, real-world software solutions. Developed features end to end using statistics, HTML5, Node.js, and JavaScript, including testing and code review. Built and maintained applications using Git, and JavaScript, collaborating with a small team to ship features on schedule. Built and maintained applications using HTML5, Git, and JavaScript, collaborating with a small team to ship features on schedule. Quick learner, eager to take ownership of new problems. Technical Skills: statistics, JavaScript, MongoDB, Git, Node.js, CSS3, HTML5.","Our company is hiring a Data Analyst to help build and scale our core product. Responsibilities: Write clean, well-tested, maintainable code using Ansible. Participate in code reviews, sprint planning, and technical design discussions. Write clean, well-tested, maintainable code using Jupyter, regression models, and TensorFlow. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Hands-on experience with data visualization. Bachelor's degree in Computer Science or equivalent practical experience. Bachelor's degree in Computer Science or equivalent practical experience. Experience with HTML5 is a plus.",0
"Engineering student passionate about building scalable, real-world software solutions. Worked on a project involving scikit-learn, and data visualization, focusing on clean architecture and maintainable code. Gained hands-on experience with machine learning, TensorFlow, and SQL through internship and personal projects. Developed features end to end using data visualization, scikit-learn, Python, and SQL, including testing and code review. Strong communicator with experience collaborating in agile, cross-functional teams. Technical Skills: data visualization, machine learning, Python, TensorFlow, SQL, scikit-learn, Firebase.","We're seeking an experienced ML Engineer to work closely with our product and engineering teams. Responsibilities: Own projects end to end, from design through deployment and monitoring. Design, build, and maintain systems using data visualization. Own projects end to end, from design through deployment and monitoring. Requirements: Excellent communication skills and ability to work in a collaborative team environment. Excellent communication skills and ability to work in a collaborative team environment. Hands-on experience with NumPy.",0
"Detail-oriented developer with a track record of shipping projects independently and in teams. Built and maintained applications using machine learning, CSS3, and regression models, collaborating with a small team to ship features on schedule. Built and maintained applications using feature engineering, and machine learning, collaborating with a small team to ship features on schedule. Built and maintained applications using CSS3, Jupyter, feature engineering, and statistics, collaborating with a small team to ship features on schedule. Quick learner, eager to take ownership of new problems. Technical Skills: CSS3, regression models, machine learning, feature engineering, pandas, statistics, Jupyter.","We are looking for a Data Analyst to join our growing engineering team. Responsibilities: Own projects end to end, from design through deployment and monitoring. Participate in code reviews, sprint planning, and technical design discussions. Own projects end to end, from design through deployment and monitoring. Requirements: Hands-on experience with NumPy. Familiarity with SQL, and Photoshop and modern development practices. Bachelor's degree in Computer Science or equivalent practical experience. Exposure to Room DB is beneficial but not required.",0
